Time,Settlement Period,Day of Week,Predicted_load
2016-01-07 20:30:00,42.0,3,34938.2552830043
2016-01-07 21:00:00,43.0,3,34938.2552830043
2016-01-07 21:30:00,44.0,3,34938.2552830043
2016-01-07 22:00:00,45.0,3,34938.2552830043
2016-01-07 22:30:00,46.0,3,34938.2552830043
2016-01-07 23:00:00,47.0,3,34938.2552830043
2016-01-07 23:30:00,48.0,3,34938.2552830043
2016-01-08 00:00:00,1.0,4,33474.0
2016-01-08 00:30:00,2.0,4,34478.0
2016-01-08 01:00:00,3.0,4,33948.0
2016-01-08 01:30:00,4.0,4,32563.0
2016-01-08 02:00:00,5.0,4,31436.0
2016-01-08 02:30:00,6.0,4,30837.0
2016-01-08 03:00:00,7.0,4,29332.0
2016-01-08 03:30:00,8.0,4,27864.0
2016-01-08 04:00:00,9.0,4,27308.0
2016-01-08 04:30:00,10.0,4,26879.0
2016-01-08 05:00:00,11.0,4,26884.0
2016-01-08 05:30:00,12.0,4,26648.0
2016-01-08 06:00:00,13.0,4,27479.0
2016-01-08 06:30:00,14.0,4,28171.0
2016-01-08 07:00:00,15.0,4,28354.0
2016-01-08 07:30:00,16.0,4,28703.0
2016-01-08 08:00:00,17.0,4,30271.0
2016-01-08 08:30:00,18.0,4,31274.0
2016-01-08 09:00:00,19.0,4,34069.0
2016-01-08 09:30:00,20.0,4,35343.0
2016-01-08 10:00:00,21.0,4,36813.0
2016-01-08 10:30:00,22.0,4,37782.0
2016-01-08 11:00:00,23.0,4,38740.0
2016-01-08 11:30:00,24.0,4,39489.0
2016-01-08 12:00:00,25.0,4,40280.0
2016-01-08 12:30:00,26.0,4,40476.0
2016-01-08 13:00:00,27.0,4,40386.0
2016-01-08 13:30:00,28.0,4,40367.0
2016-01-08 14:00:00,29.0,4,40498.0
2016-01-08 14:30:00,30.0,4,40613.0
2016-01-08 15:00:00,31.0,4,41007.0
2016-01-08 15:30:00,32.0,4,41631.0
2016-01-08 16:00:00,33.0,4,43316.0
2016-01-08 16:30:00,34.0,4,44716.0
2016-01-08 17:00:00,35.0,4,45127.0
2016-01-08 17:30:00,36.0,4,44653.0
2016-01-08 18:00:00,37.0,4,43697.0
2016-01-08 18:30:00,38.0,4,42738.0
2016-01-08 19:00:00,39.0,4,41808.0
2016-01-08 19:30:00,40.0,4,40797.0
2016-01-08 20:00:00,41.0,4,39936.0
2016-01-08 20:30:00,42.0,4,38948.0
2016-01-08 21:00:00,43.0,4,37941.0
2016-01-08 21:30:00,44.0,4,37028.0
2016-01-08 22:00:00,45.0,4,35452.0
2016-01-08 22:30:00,46.0,4,34327.0
2016-01-08 23:00:00,47.0,4,32131.0
2016-01-08 23:30:00,48.0,4,30841.0
2016-01-09 00:00:00,1.0,5,30778.0
2016-01-09 00:30:00,2.0,5,30600.0
2016-01-09 01:00:00,3.0,5,29384.0
2016-01-09 01:30:00,4.0,5,28211.0
2016-01-09 02:00:00,5.0,5,27159.0
2016-01-09 02:30:00,6.0,5,26494.0
2016-01-09 03:00:00,7.0,5,25486.0
2016-01-09 03:30:00,8.0,5,24822.0
2016-01-09 04:00:00,9.0,5,24482.0
2016-01-09 04:30:00,10.0,5,24446.0
2016-01-09 05:00:00,11.0,5,24634.0
2016-01-09 05:30:00,12.0,5,25418.0
2016-01-09 06:00:00,13.0,5,27608.0
2016-01-09 06:30:00,14.0,5,29120.0
2016-01-09 07:00:00,15.0,5,30254.0
2016-01-09 07:30:00,16.0,5,31148.0
2016-01-09 08:00:00,17.0,5,32661.0
2016-01-09 08:30:00,18.0,5,34294.0
2016-01-09 09:00:00,19.0,5,36928.0
2016-01-09 09:30:00,20.0,5,38266.0
2016-01-09 10:00:00,21.0,5,39386.0
2016-01-09 10:30:00,22.0,5,40174.0
2016-01-09 11:00:00,23.0,5,40731.0
2016-01-09 11:30:00,24.0,5,41144.0
2016-01-09 12:00:00,25.0,5,41599.0
2016-01-09 12:30:00,26.0,5,41780.0
2016-01-09 13:00:00,27.0,5,41751.0
2016-01-09 13:30:00,28.0,5,41760.0
2016-01-09 14:00:00,29.0,5,41763.0
2016-01-09 14:30:00,30.0,5,41509.0
2016-01-09 15:00:00,31.0,5,41735.0
2016-01-09 15:30:00,32.0,5,42394.0
2016-01-09 16:00:00,33.0,5,42389.0
2016-01-09 16:30:00,34.0,5,46351.0
2016-01-09 17:00:00,35.0,5,47628.0
2016-01-09 17:30:00,36.0,5,47519.0
2016-01-09 18:00:00,37.0,5,46845.0
2016-01-09 18:30:00,38.0,5,45774.0
2016-01-09 19:00:00,39.0,5,44605.0
2016-01-09 19:30:00,40.0,5,43525.0
2016-01-09 20:00:00,41.0,5,42496.0
2016-01-09 20:30:00,42.0,5,40981.0
2016-01-09 21:00:00,43.0,5,39764.0
2016-01-09 21:30:00,44.0,5,38190.0
2016-01-09 22:00:00,45.0,5,36898.0
2016-01-09 22:30:00,46.0,5,35863.0
2016-01-09 23:00:00,47.0,5,33662.0
2016-01-09 23:30:00,48.0,5,32540.0
2016-01-10 00:00:00,1.0,6,32540.0
2016-01-10 00:30:00,2.0,6,31872.0
2016-01-10 01:00:00,3.0,6,30825.0
2016-01-10 01:30:00,4.0,6,29520.0
2016-01-10 02:00:00,5.0,6,28129.0
2016-01-10 02:30:00,6.0,6,27696.0
2016-01-10 03:00:00,7.0,6,26939.0
2016-01-10 03:30:00,8.0,6,26092.0
2016-01-10 04:00:00,9.0,6,25729.0
2016-01-10 04:30:00,10.0,6,25710.0
2016-01-10 05:00:00,11.0,6,25800.0
2016-01-10 05:30:00,12.0,6,26081.0
2016-01-10 06:00:00,13.0,6,26771.0
2016-01-10 06:30:00,14.0,6,27583.0
2016-01-10 07:00:00,15.0,6,29198.0
2016-01-10 07:30:00,16.0,6,30439.0
2016-01-10 08:00:00,17.0,6,31621.0
2016-01-10 08:30:00,18.0,6,33027.0
2016-01-10 09:00:00,19.0,6,35748.0
2016-01-10 09:30:00,20.0,6,37417.0
2016-01-10 10:00:00,21.0,6,39364.0
2016-01-10 10:30:00,22.0,6,40741.0
2016-01-10 11:00:00,23.0,6,41581.0
2016-01-10 11:30:00,24.0,6,42570.0
2016-01-10 12:00:00,25.0,6,43422.0
2016-01-10 12:30:00,26.0,6,43869.0
2016-01-10 13:00:00,27.0,6,43927.0
2016-01-10 13:30:00,28.0,6,43778.0
2016-01-10 14:00:00,29.0,6,43669.0
2016-01-10 14:30:00,30.0,6,43512.0
2016-01-10 15:00:00,31.0,6,43700.0
2016-01-10 15:30:00,32.0,6,44525.0
2016-01-10 16:00:00,33.0,6,46212.0
2016-01-10 16:30:00,34.0,6,48352.0
2016-01-10 17:00:00,35.0,6,49039.0
2016-01-10 17:30:00,36.0,6,48518.0
2016-01-10 18:00:00,37.0,6,47871.0
2016-01-10 18:30:00,38.0,6,47007.0
2016-01-10 19:00:00,39.0,6,45958.0
2016-01-10 19:30:00,40.0,6,44704.0
2016-01-10 20:00:00,41.0,6,43782.0
2016-01-10 20:30:00,42.0,6,42387.0
2016-01-10 21:00:00,43.0,6,41160.0
2016-01-10 21:30:00,44.0,6,39413.0
2016-01-10 22:00:00,45.0,6,37914.0
2016-01-10 22:30:00,46.0,6,36304.0
2016-01-10 23:00:00,47.0,6,33727.0
2016-01-10 23:30:00,48.0,6,32394.0
